target_ref,target_gnt_idx,target_row_idx,similarity,corpus,unit_type,unit_id,ref,snippet
1Cor 6:9,112,112,0.94550264,NT,verse,6578,Matt 21:38,οἱ δὲ γεωργοὶ ἰδόντες τὸν υἱὸν εἶπον ἐν ἑαυτοῖς· Οὗτός ἐστιν ὁ κληρονόμος· δεῦτε ἀποκτείνωμεν αὐτὸν καὶ ⸀σχῶμεν τὴν κληρονομίαν αὐτοῦ·
1Cor 6:9,112,112,0.9371439,NT,verse,5648,Mark 12:7,"ἐκεῖνοι δὲ οἱ γεωργοὶ ⸂πρὸς ἑαυτοὺς εἶπαν⸃ ὅτι Οὗτός ἐστιν ὁ κληρονόμος· δεῦτε ἀποκτείνωμεν αὐτόν, καὶ ἡμῶν ἔσται ἡ κληρονομία."
1Cor 6:9,112,112,0.9345112,NT,verse,4360,Luke 7:20,παραγενόμενοι δὲ πρὸς αὐτὸν οἱ ἄνδρες εἶπαν· Ἰωάννης ὁ βαπτιστὴς ⸀ἀπέστειλεν ἡμᾶς πρὸς σὲ λέγων· Σὺ εἶ ὁ ἐρχόμενος ἢ ἄλλον προσδοκῶμεν;
1Cor 6:9,112,112,0.93308717,NT,verse,404,1Cor 15:50,"Τοῦτο δέ φημι, ἀδελφοί, ὅτι σὰρξ καὶ αἷμα βασιλείαν θεοῦ κληρονομῆσαι οὐ ⸀δύναται, οὐδὲ ἡ φθορὰ τὴν ἀφθαρσίαν κληρονομεῖ."
1Cor 6:9,112,112,0.93023354,NT,verse,1521,Acts 7:5,"καὶ οὐκ ἔδωκεν αὐτῷ κληρονομίαν ἐν αὐτῇ οὐδὲ βῆμα ποδός, καὶ ἐπηγγείλατο δοῦναι αὐτῷ εἰς κατάσχεσιν αὐτὴν καὶ τῷ σπέρματι αὐτοῦ μετʼ αὐτόν, οὐκ ὄντος αὐτῷ τέκνου."
1Cor 6:9,112,112,0.9281877,NT,verse,4152,Luke 2:34,"καὶ εὐλόγησεν αὐτοὺς Συμεὼν καὶ εἶπεν πρὸς Μαριὰμ τὴν μητέρα αὐτοῦ· Ἰδοὺ οὗτος κεῖται εἰς πτῶσιν καὶ ἀνάστασιν πολλῶν ἐν τῷ Ἰσραὴλ καὶ εἰς σημεῖον ἀντιλεγόμενον,"
1Cor 6:9,112,112,0.9281413,NT,verse,2523,Eph 5:5,"τοῦτο γὰρ ⸀ἴστε γινώσκοντες ὅτι πᾶς πόρνος ἢ ἀκάθαρτος ἢ πλεονέκτης, ⸀ὅ ἐστιν εἰδωλολάτρης, οὐκ ἔχει κληρονομίαν ἐν τῇ βασιλείᾳ τοῦ Χριστοῦ καὶ θεοῦ."
1Cor 6:9,112,112,0.92791617,NT,verse,3490,John 8:19,"ἔλεγον οὖν αὐτῷ· Ποῦ ἐστιν ὁ πατήρ σου; ἀπεκρίθη Ἰησοῦς· Οὔτε ἐμὲ οἴδατε οὔτε τὸν πατέρα μου· εἰ ἐμὲ ᾔδειτε, καὶ τὸν πατέρα μου ⸂ἂν ᾔδειτε⸃."
1Cor 6:9,112,112,0.9256559,NT,verse,4755,Luke 15:22,"εἶπεν δὲ ὁ πατὴρ πρὸς τοὺς δούλους αὐτοῦ· ⸀Ταχὺ ⸀ἐξενέγκατε στολὴν τὴν πρώτην καὶ ἐνδύσατε αὐτόν, καὶ δότε δακτύλιον εἰς τὴν χεῖρα αὐτοῦ καὶ ὑποδήματα εἰς τοὺς πόδας,"
1Cor 6:9,112,112,0.92510265,NT,verse,5571,Mark 10:14,"ἰδὼν δὲ ὁ Ἰησοῦς ἠγανάκτησεν καὶ εἶπεν αὐτοῖς· Ἄφετε τὰ παιδία ἔρχεσθαι πρός με, μὴ κωλύετε αὐτά, τῶν γὰρ τοιούτων ἐστὶν ἡ βασιλεία τοῦ θεοῦ."
1Cor 6:9,112,112,0.9249331,NT,verse,1985,Acts 19:2,εἶπέν ⸀τε πρὸς αὐτούς· Εἰ πνεῦμα ἅγιον ἐλάβετε πιστεύσαντες; οἱ ⸀δὲ πρὸς αὐτόν· Ἀλλʼ οὐδʼ εἰ πνεῦμα ἅγιον ἔστιν ἠκούσαμεν.
1Cor 6:9,112,112,0.92454946,NT,verse,7343,Rev 17:7,"καὶ εἶπέν μοι ὁ ἄγγελος· Διὰ τί ἐθαύμασας; ἐγὼ ἐρῶ σοι τὸ μυστήριον τῆς γυναικὸς καὶ τοῦ θηρίου τοῦ βαστάζοντος αὐτήν, τοῦ ἔχοντος τὰς ἑπτὰ κεφαλὰς καὶ τὰ δέκα κέρατα·"
1Cor 6:9,112,112,0.92450404,NT,verse,6283,Matt 13:28,ὁ δὲ ἔφη αὐτοῖς· Ἐχθρὸς ἄνθρωπος τοῦτο ἐποίησεν. οἱ δὲ ⸂δοῦλοι αὐτῷ λέγουσιν⸃· Θέλεις οὖν ἀπελθόντες ⸀συλλέξωμεν αὐτά;
1Cor 6:9,112,112,0.9242473,NT,verse,4937,Luke 20:14,"ἰδόντες δὲ αὐτὸν οἱ γεωργοὶ διελογίζοντο πρὸς ⸀ἀλλήλους λέγοντες· Οὗτός ἐστιν ὁ κληρονόμος· ⸀ἀποκτείνωμεν αὐτόν, ἵνα ἡμῶν γένηται ἡ κληρονομία·"
1Cor 6:9,112,112,0.9236504,NT,verse,6401,Matt 16:13,Ἐλθὼν δὲ ὁ Ἰησοῦς εἰς τὰ μέρη Καισαρείας τῆς Φιλίππου ἠρώτα τοὺς μαθητὰς αὐτοῦ λέγων· ⸀Τίνα λέγουσιν οἱ ἄνθρωποι εἶναι τὸν υἱὸν τοῦ ἀνθρώπου;
