target_ref,target_gnt_idx,target_row_idx,similarity,corpus,unit_type,unit_id,ref,snippet
1Tim 1:10,745,745,0.9103756,1Clem,merged_chunk,1Clem_5.6-6.3,1Clem 5.6;5.7;6.1;6.2;6.3,"ἑπτάκις δεσμὰ φορέσας, φυγαδευθείς, λιθασθείς, κήρυξ γενόμενος ἔν τε τῇ ἀνατολῇ καὶ ἐν τῇ δύσει, τὸ γενναῖον τῆς πίστεως αὐτοῦ κλέος ἔλαβεν, 4. ὑπομονῆς γενόμενος μέγιστος ὑπογραμμός. διὰ ζῆλος παθόντες ὑπόδειγμα κάλλιστον ἐγένοντο ἐν ἡμῖν. αἰκίσματα δεινὰ καὶ"
1Tim 1:10,745,745,0.90439767,1Clem,merged_chunk,1Clem_20.12-21.5,1Clem 20.12;21.1;21.2;21.3;21.4;21.5,"ᾧ ἡ δόξα καὶ ἡ μεγαλωσύνη εἰς τοὺς αἰῶνας τῶν αἰώνων. ἀμήν. ἡμῖν, ἐὰν μὴ ἀξίως αὐτοῦ πολιτευόμενοι τὰ καλὰ καὶ εὐάρεστα ἐνώπιον αὐτοῦ ποιῶμεν μεθ̓ ὁμονοίας. 20, 27 γάρ που: Πνεῦμα κυρίου λύχνος ἐρευνῶν τὰ ταμιεῖα τῆς γαστρός: ἴδωμεν. δίκαιον οὖν ἐστὶν μὴ λειπο"
1Tim 1:10,745,745,0.9039508,1Clem,merged_chunk,1Clem_22.8-23.2,1Clem 22.8;23.1;23.2,"Πολλαὶ αἱ μάστιγες τοῦ ἁμαρτωλοῦ, τοὺς δὲ ἐλπίζοντας ἐπὶ κύριον ἔλεος κυκλώσει. Ὁ οἰκτίρμων κατὰ πάντα καὶ εὐεργετικὸς πατὴρ ἔχει σπλάγχνα ἐπὶ τοὺς φοβουμένους αὐτόν, ἠπίως τε καὶ προσηνῶς τὰς χάριτας αὐτοῦ ἀποδιδοῖ τοῖς προσερχομένοις αὐτῷ ἁπλῇ διανοιᾳ. διὸ μ"
1Tim 1:10,745,745,0.90323114,1Clem,merged_chunk,1Clem_46.1-46.5,1Clem 46.1;46.2;46.3;46.4;46.5,"Τοιούτοις οὖν ὑποδείγμασιν κολληθῆναι καὶ ἡμᾶς δεῖ, ἀδελφοί. γέγραπται γάρ: Κολλᾶσθε τοῖς ἁγίοις, ὅτι οἱ κολλώμενοι αὐτοῖς ἁγιασθήσονται. καὶ πάλιν ἐν ἑτέρῳ τόπῳ λέγει: 17. ἀνδρὸς ἀθῷον ἀθῷος ἔσῃ καὶ μετὰ ἐκλεκτοῦ ἐκλεκτὸς ἔσῃ. καὶ μετὰ στρεβλοῦ διαστρέψεις. κ"
1Tim 1:10,745,745,0.90191036,1Clem,merged_chunk,1Clem_26.3-27.4,1Clem 26.3;27.1;27.2;27.3;27.4,"Καὶ ἀναστήσεις τὴν σάρκα μου ταύτην τὴν ἀναντλήσασαν ταῦτα πάντα. Ταύτῃ οὖν τῇ ἐλπίδι προσδεδέσθωσαν αἱ ψυχαὶ ἡμῶν τῷ πιστῷ ἐν ταῖς ἐπαγγελίαις καὶ τῷ δικαίῳ ἐν τοῖς κρίμασιν. ὁ παραγγείλας μὴ ψεύδεσθαι, πολλῷ μᾶλλον αὐτὸς οὐ ψεύσεται: οὐδὲν γὰρ ἀδύνατον παρὰ "
1Tim 1:10,745,745,0.89771754,1Clem,merged_chunk,1Clem_2.6-3.1,1Clem 2.6;2.7;2.8;3.1,"πᾶσα στάσις καὶ πᾶν σχίσμα βδελυκτὸν ἦν ὑμῖν. ἐπὶ τοῖς παραπτώμασιν τῶν πλησίον ἐπενθεῖτε: τὰ ὑστερήματα αὐτῶν ἴδια ἐκρίνετε. ἀμεταμέλητοι ἦτε ἐπὶ πάσῃ ἀγαθοποιΐᾳ, ἕτοιμοι εἰς πᾶν ἔργον ἀγαθόν. τῇ παναρέτῳ καὶ σεβασμίῳ πολιτείᾳ κεκοσμημένοι πάντα ἐν τῷ φόβῳ αὐ"
1Tim 1:10,745,745,0.8971434,1Clem,merged_chunk,1Clem_18.7-18.12,1Clem 18.7;18.8;18.9;18.10;18.11;18.12,"ῥαντιεῖς με ὑσσώπῳ, καὶ καθαρισθήσομαι: πλυνεῖς με, καὶ ὑπὲρ χιόνα λευκανθήσομαι. ἀκουτιεῖς με ἀγαλλίασιν καὶ εὐφροσύνην. ἀγαλλιάσονται ὀστᾶ τεταπεινωμένα. ἀπόστρεψον τὸ πρόσωπόν σου ἀπὸ τῶν ἁμαρτιῶν μου, καὶ πάσας τὰς ἀνομίας μου ἐξάλειψον. καρδίαν καθαρὰν κτ"
1Tim 1:10,745,745,0.895954,Didache,merged_chunk,Didache_4.13-5.1,Didache 4.13;4.14;5.1,"οὐ μὴ ἐγκαταλίπῃς ἐντολὰς κυρίου, φυλάξεις δὲ ἃ παρέλαβες, μήτε 4, 2, 12, 62 προστιθεὶς μήτε ἀφαιρῶν. ἐν ἐκκλησίᾳ ἐξομολογήσῃ τὰ παραπτώματά σου, καὶ οὐ προσελεύσῃ ἐπὶ προσευχήν σου ἐν συνειδήσει πονηρᾷ: αὕτη ἐστὶν ἡ ὁδὸς τῆς ζωῆς. ʽΠ δὲ τοῦ θανάτου ὁδός ἐστιν"
1Tim 1:10,745,745,0.89495945,1Clem,merged_chunk,1Clem_14.1-14.4,1Clem 14.1;14.2;14.3;14.4,"Δίκαιον οὖν καὶ ὅσιον, ἄνδρες ἀδελφοί, ὑπηκόους ἡμᾶς μᾶλλον γενέσθαι τῷ θεῷ ἡ τοῖς ἐν ἀλαζονείᾳ καὶ ἀκαταστασίᾳ μυσεροῦ ζήλους ἀρχηγοῖς ἐξακολουθεῖν. βλάβην γὰρ οὐ τὴν τυχοῦσαν, μᾶλλον δὲ κίνδυνον ὑποίσομεν μέγαν, ἐὰν ῥιψοκινδύνως ἐπιδῶμεν ἑαυτοὺς τοῖς θελήμασ"
1Tim 1:10,745,745,0.8938835,1Clem,merged_chunk,1Clem_33.1-33.2,1Clem 33.1;33.2,"Τί οὖν ποιήσωμεν, ἀδελφοί; ἀργήσωμεν ἀπὸ τῆς ἀγαθοποιΐας καὶ ἐγκαταλίπωμεν τὴν ἀγάπην; μηθαμῶς τοῦτο ἐάσαι ὁ δεσπότης ἐφ̓ ἡμῖν γε γενηθῆναι, ἀλλὰ σπεύσωμεν μετὰ ἐκτενείας καὶ προθυμίας πᾶς ἔργον ἀγαθὸν ἐπιτελεῖν. αὐτὸς γὰρ ὁ δημιουργὸς καὶ δεσπότης τῶν ἁπάντων"
